iteration,timestamp,current_simulations,replay_buffer_size,training_mode,opponent_games,self_play_games,initial_loss,final_loss,loss_reduction,loss_reduction_pct
52,2025-12-04T15:25:22.230771,100,50000,self-play (warm-up),0,50,3.0227506160736084,2.7513535022735596,0.27139711380004883,8.978481795914053
53,2025-12-04T15:31:01.508908,100,50000,self-play (warm-up),0,50,3.0294721126556396,3.0571117401123047,-0.02763962745666504,-0.9123578771760371
54,2025-12-04T15:36:26.409647,100,50000,self-play (warm-up),0,50,2.8705639839172363,2.996121406555176,-0.12555742263793945,-4.373963560519594
55,2025-12-04T15:41:59.583497,100,50000,self-play (warm-up),0,50,2.95074462890625,3.003300189971924,-0.05255556106567383,-1.7810948650325782
56,2025-12-04T15:47:56.006319,100,50000,self-play (warm-up),0,50,2.805657386779785,3.111797332763672,-0.3061399459838867,-10.911522819087374
57,2025-12-04T15:53:21.404554,100,50000,self-play (warm-up),0,50,2.98565673828125,2.9262399673461914,0.059416770935058594,1.9900737473679906
58,2025-12-04T15:59:02.749568,100,50000,self-play (warm-up),0,50,3.0490431785583496,2.9835102558135986,0.06553292274475098,2.1492946772809
59,2025-12-04T16:04:16.653431,100,50000,self-play (warm-up),0,50,3.06888747215271,3.0167200565338135,0.052167415618896484,1.699880366819152
60,2025-12-04T16:09:42.978160,100,50000,self-play (warm-up),0,50,3.0401413440704346,2.8645524978637695,0.17558884620666504,5.775680349505387
61,2025-12-04T16:15:27.139280,100,50000,self-play (warm-up),0,50,3.0878548622131348,3.0695056915283203,0.018349170684814453,0.5942368247082439
62,2025-12-04T16:20:34.511335,100,50000,self-play (warm-up),0,50,3.026805877685547,2.8662846088409424,0.1605212688446045,5.303322225849098
1,2025-12-04T16:22:51.415198,25,1098,mixed (self-play + heuristic),25,25,3.0990548133850098,1.7271188497543335,1.3719359636306763,44.269496547953906
2,2025-12-04T16:23:38.729160,25,2154,mixed (self-play + heuristic),25,25,2.078768253326416,1.6144710779190063,0.46429717540740967,22.335206181085738
